2022-04-11 10:53:42.380 [main] INFO  org.iiitb.App - [POW] - 33.956169186002015 4.75373769899464
2022-04-11 10:53:42.383 [main] INFO  org.iiitb.App - [RESULT] - 1.894898207448778E7
2022-04-11 10:53:42.383 [main] INFO  org.iiitb.App - [SINH] - 8.089945929874286
2022-04-11 10:53:42.384 [main] INFO  org.iiitb.App - [RESULT] - 1630.7554542656133
2022-04-11 10:53:42.384 [main] INFO  org.iiitb.App - [TANH] - 6.226686464140327
2022-04-11 10:53:42.384 [main] INFO  org.iiitb.App - [RESULT] - 0.999992190968834
2022-04-11 10:53:42.384 [main] INFO  org.iiitb.App - [FACTORIAL] - 69.77286857933979
2022-04-11 10:53:42.385 [main] INFO  org.iiitb.App - [RESULT] - 1.711224524281413E98
2022-04-11 10:53:42.385 [main] INFO  org.iiitb.App - [SINH] - 8.246346010726496
2022-04-11 10:53:42.385 [main] INFO  org.iiitb.App - [RESULT] - 1906.8324884861947
2022-04-11 10:53:42.385 [main] INFO  org.iiitb.App - [COSH] - 7.960164124628644
2022-04-11 10:53:42.386 [main] INFO  org.iiitb.App - [RESULT] - 1432.2717025443712
2022-04-11 10:53:42.386 [main] INFO  org.iiitb.App - [LOG B BASE A] - 81.57320386649643 78.00797840553888
2022-04-11 10:53:42.386 [main] INFO  org.iiitb.App - [RESULT] - 0.9898467097636531
2022-04-11 10:53:42.386 [main] INFO  org.iiitb.App - [DIVISION] - 61.41519370033143 35.07614568954803
2022-04-11 10:53:42.387 [main] INFO  org.iiitb.App - [RESULT] - 1.7509105545376924
2022-04-11 10:53:42.387 [main] INFO  org.iiitb.App - [LOGBASE10] - 25.661461839898283
2022-04-11 10:53:42.387 [main] INFO  org.iiitb.App - [RESULT] - 1.4092813929164554
2022-04-11 10:53:42.387 [main] INFO  org.iiitb.App - [SUBTRACTION] - 60.28942347417028 7.127943135027179
2022-04-11 10:53:42.388 [main] INFO  org.iiitb.App - [RESULT] - 53.1614803391431
2022-04-11 10:53:42.388 [main] INFO  org.iiitb.App - [DIVISION] - 5.545619015523162 18.60061918735576
2022-04-11 10:53:42.388 [main] INFO  org.iiitb.App - [RESULT] - 0.2981416349458375
2022-04-11 10:53:42.388 [main] INFO  org.iiitb.App - [POW] - 18.52741965911291 9.535014432581786
2022-04-11 10:53:42.388 [main] INFO  org.iiitb.App - [RESULT] - 1.2264045083917522E12
2022-04-11 10:53:42.388 [main] INFO  org.iiitb.App - [POW] - 56.26229304446537 4.061404592741116
2022-04-11 10:53:42.388 [main] INFO  org.iiitb.App - [RESULT] - 1.2833381421821756E7
2022-04-11 10:53:42.388 [main] INFO  org.iiitb.App - [SUBTRACTION] - 56.66854559225789 3.0066933639641347
2022-04-11 10:53:42.388 [main] INFO  org.iiitb.App - [RESULT] - 53.66185222829376
2022-04-11 10:53:42.389 [main] INFO  org.iiitb.App - [SQRT] - 68.22795770138154
2022-04-11 10:53:42.389 [main] INFO  org.iiitb.App - [RESULT] - 8.260021652597622
2022-04-11 10:53:42.389 [main] INFO  org.iiitb.App - [FACTORIAL] - 5.7399952592920265
2022-04-11 10:53:42.389 [main] INFO  org.iiitb.App - [RESULT] - 120.0
2022-04-11 10:53:42.389 [main] INFO  org.iiitb.App - [SQRT] - 41.99472162391896
2022-04-11 10:53:42.389 [main] INFO  org.iiitb.App - [RESULT] - 6.480333450056329
2022-04-11 10:53:42.389 [main] INFO  org.iiitb.App - [TAN] - 8.154162465564877
2022-04-11 10:53:42.390 [main] INFO  org.iiitb.App - [RESULT] - -3.2306587356994774
2022-04-11 10:53:42.390 [main] INFO  org.iiitb.App - [SUBTRACTION] - 44.59221685247622 8.780611378341916
2022-04-11 10:53:42.390 [main] INFO  org.iiitb.App - [RESULT] - 35.8116054741343
2022-04-11 10:53:42.390 [main] INFO  org.iiitb.App - [FACTORIAL] - 38.935191076483534
2022-04-11 10:53:42.390 [main] INFO  org.iiitb.App - [RESULT] - 5.23022617466601E44
2022-04-11 10:53:42.390 [main] INFO  org.iiitb.App - [DIVISION] - 11.11609313796772 91.49688146416862
2022-04-11 10:53:42.390 [main] INFO  org.iiitb.App - [RESULT] - 0.12149149741590841
2022-04-11 10:53:42.390 [main] INFO  org.iiitb.App - [TANH] - 7.964998878917973
2022-04-11 10:53:42.390 [main] INFO  org.iiitb.App - [RESULT] - 0.9999997586096968
2022-04-11 10:53:42.390 [main] INFO  org.iiitb.App - [FACTORIAL] - 89.29101258664437
2022-04-11 10:53:42.391 [main] INFO  org.iiitb.App - [RESULT] - 1.6507955160908452E136
2022-04-11 10:53:42.391 [main] INFO  org.iiitb.App - [FACTORIAL] - 81.3655560739146
2022-04-11 10:53:42.391 [main] INFO  org.iiitb.App - [RESULT] - 5.797126020747366E120
2022-04-11 10:53:42.391 [main] INFO  org.iiitb.App - [LOG B BASE A] - 96.52716454439141 58.44919316870628
2022-04-11 10:53:42.391 [main] INFO  org.iiitb.App - [RESULT] - 0.8902219141608442
2022-04-11 10:53:42.391 [main] INFO  org.iiitb.App - [SINH] - 5.078074625364081
2022-04-11 10:53:42.391 [main] INFO  org.iiitb.App - [RESULT] - 80.22928577598864
2022-04-11 10:53:42.391 [main] INFO  org.iiitb.App - [SQRT] - 85.13568435040767
2022-04-11 10:53:42.392 [main] INFO  org.iiitb.App - [RESULT] - 9.226900040122233
2022-04-11 10:53:42.392 [main] INFO  org.iiitb.App - [TANH] - 7.261096453838517
2022-04-11 10:53:42.392 [main] INFO  org.iiitb.App - [RESULT] - 0.9999990134444673
2022-04-11 10:53:42.393 [main] INFO  org.iiitb.App - [SQUARED] - 5.934876305453768
2022-04-11 10:53:42.393 [main] INFO  org.iiitb.App - [RESULT] - 35.22275676103657
2022-04-11 10:53:42.394 [main] INFO  org.iiitb.App - [FACTORIAL] - 87.71492294385992
2022-04-11 10:53:42.394 [main] INFO  org.iiitb.App - [RESULT] - 2.107757298379527E132
2022-04-11 10:53:42.394 [main] INFO  org.iiitb.App - [TAN] - 8.499803748163119
2022-04-11 10:53:42.394 [main] INFO  org.iiitb.App - [RESULT] - -1.3269059751598165
2022-04-11 10:53:42.394 [main] INFO  org.iiitb.App - [COS] - 6.774544274723527
2022-04-11 10:53:42.394 [main] INFO  org.iiitb.App - [RESULT] - 0.8816924787567626
2022-04-11 10:53:42.394 [main] INFO  org.iiitb.App - [TANH] - 4.281840091380344
2022-04-11 10:53:42.395 [main] INFO  org.iiitb.App - [RESULT] - 0.9996182420921611
2022-04-11 10:53:42.395 [main] INFO  org.iiitb.App - [SQUARED] - 1.9770503177062049
2022-04-11 10:53:42.395 [main] INFO  org.iiitb.App - [RESULT] - 3.9087279587422055
2022-04-11 10:53:42.395 [main] INFO  org.iiitb.App - [SIN] - 5.537982975105357
2022-04-11 10:53:42.395 [main] INFO  org.iiitb.App - [RESULT] - -0.678120528437234
2022-04-11 10:53:42.395 [main] INFO  org.iiitb.App - [DIVISION] - 15.173907833137058 46.62647706132066
2022-04-11 10:53:42.395 [main] INFO  org.iiitb.App - [RESULT] - 0.3254354347462525
2022-04-11 10:53:42.395 [main] INFO  org.iiitb.App - [TAN] - 6.825752488849569
2022-04-11 10:53:42.395 [main] INFO  org.iiitb.App - [RESULT] - 0.6029246198908651
2022-04-11 10:53:42.396 [main] INFO  org.iiitb.App - [TANH] - 4.0152508114457275
2022-04-11 10:53:42.396 [main] INFO  org.iiitb.App - [RESULT] - 0.9993494417869743
2022-04-11 10:53:42.396 [main] INFO  org.iiitb.App - [SQRT] - 0.5867464499652919
2022-04-11 10:53:42.396 [main] INFO  org.iiitb.App - [RESULT] - 0.7659937662705173
2022-04-11 10:53:42.396 [main] INFO  org.iiitb.App - [ADDITION] - 88.62217795704407 21.19324802736663
2022-04-11 10:53:42.396 [main] INFO  org.iiitb.App - [RESULT] - 109.8154259844107
2022-04-11 10:53:42.396 [main] INFO  org.iiitb.App - [FACTORIAL] - 69.1455614843169
2022-04-11 10:53:42.397 [main] INFO  org.iiitb.App - [RESULT] - 1.711224524281413E98
2022-04-11 10:53:42.397 [main] INFO  org.iiitb.App - [ADDITION] - 49.202199746072395 72.27837273182861
2022-04-11 10:53:42.397 [main] INFO  org.iiitb.App - [RESULT] - 121.480572477901
2022-04-11 10:53:42.397 [main] INFO  org.iiitb.App - [SINH] - 8.338298977693501
